Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 01.02.2023) ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 30.01.2023) ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Synonym (neu) ;Unterkategorie  (neu) ;Kategorie (neu) ;Bezugseinheit;Energie, Kilojoule (kJ);Energie, Kalorien (kcal);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);Retinol (µg);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Vitamin B3 Niacin (mg);Folat (µg);Vitamin B5 (Pantothensäur)e (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg);vegetarisch (ja/nein);vegan (ja/nein);laktosefrei (ja/nein);glutenfrei (ja/nein) 
Ananas;in Sirup, Konserve, abgetropft ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;295;70;0.1;Sp.;Sp.;Sp.;0;15.9;15.9;0;1.6;0.5;0;0;82;k.A.;k.A.;0;k.A.;20;0.03;Sp.;0.05;0;0.2;5;0.04;5.2;0;0.02;95;1.9;13;6.4;11;4.8;0.1;0.3;0.1;0.1;ja;ja;ja;ja
Ananas;mit Süssungsmittel, Konserve, abgetropft ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;179;42;0.1;0;0;0;0;9.4;8.4;0;1;0.5;0;0;86.4;8;4;0;49;37;0.04;0.01;0.05;0;0.16;4.7;0.1;22.6;0;0.06;73;0.6;19;13;8.8;4.8;0.1;1.4;0.1;0.1;ja;ja;ja;ja
Ananas;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;221;52;0.1;Sp.;Sp.;Sp.;0;11.7;10.5;Sp.;1.2;0.5;0;0;86.4;8;4;0;49;49;0.07;0.02;0.07;0;0.2;9.4;0.13;56.5;0;0.06;120;<1;19;14;11;6;0.2;1.4;0.1;0.1;ja;ja;ja;ja
Ananassaft ;;Fruchtsaft ;Getränke;pro 100g essbarer Anteil;218;51;0.1;0;0;0.1;0;12.1;12.1;0;0.2;0.4;0;0;86.3;10;5;0;59;59;0.05;0.02;0.1;0;0.2;2;0.1;12.1;0;0.02;130;5;38;16;14;4;0.2;0;0.1;0.1;ja;ja;ja;ja
Ananassaft ;;Fruchtsaft ;Früchte;pro 100g essbarer Anteil;218;51;0.1;0;0;0.1;0;12.1;12.1;0;0.2;0.4;0;0;86.3;10;5;0;59;59;0.05;0.02;0.1;0;0.2;2;0.1;12.1;0;0.02;130;5;38;16;14;4;0.2;0;0.1;0.1;ja;ja;ja;ja
Apfel;gedünstet, abgetropft (ohne Zugabe von Zucker) ;Früchte zubereitet ;Früchte;pro 100g essbarer Anteil;237;56;0.3;0.1;0;0.2;0;12.2;12.1;0.1;1.5;0.3;0;0;85.7;4;2;0;25;23;0.01;0.01;0.04;0;0.09;4;0.09;3.8;0;0.12;94;1.2;80;6.7;6.8;15;0.1;1.1;0.1;0.7;ja;ja;ja;ja
Apfel;geschält, getrocknet Apfelchips ;Früchte getrocknet ;Früchte;pro 100g essbarer Anteil;1120;264;1.6;0.7;0.1;0.9;0;55.4;50;2.9;11.2;1.4;0;0;26.8;1;0;0;4;4;0.04;0.03;0.12;0;0.48;14;0.28;1.8;0;1.57;620;10;9;30;23;50;1.2;4.1;0.2;0.5;ja;ja;ja;ja
Apfel;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;222;52;0.3;0.1;0;0.2;0;11.6;11.5;0.1;1.4;0.3;0;0;85.4;4;2;0;25;23;0.01;0.01;0.04;0;0.08;6;0.08;7.2;0;0.09;120;1.5;61;5.3;6.5;14;0.1;0.8;0.1;<0.5;ja;ja;ja;ja
Apfelkuchen;hausgemacht, gebacken (mit Blätterteig) Apfelwähe ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;604;144;6.7;2.8;2.7;0.8;18;17.8;9.4;8.3;1.3;2.4;0.3;0;71.8;11;9;8;15;15;0.03;0.04;0.04;0.08;0.1;4.8;0.2;3.9;0.1;0.8;110;110;210;17;7.5;35;0.2;3.4;0.2;1.8;ja;nein;nein;nein
Apfelkuchen;hausgemacht, gebacken (mit Blätterteig) Apfelwähe ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;604;144;6.7;2.8;2.7;0.8;18;17.8;9.4;8.3;1.3;2.4;0.3;0;71.8;11;9;8;15;15;0.03;0.04;0.04;0.08;0.1;4.8;0.2;3.9;0.1;0.8;110;110;210;17;7.5;35;0.2;3.4;0.2;1.8;ja;nein;nein;nein
Apfelkuchen;hausgemacht, gebacken (mit Blätterteig) Apfelwähe ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;604;144;6.7;2.8;2.7;0.8;18;17.8;9.4;8.3;1.3;2.4;0.3;0;71.8;11;9;8;15;15;0.03;0.04;0.04;0.08;0.1;4.8;0.2;3.9;0.1;0.8;110;110;210;17;7.5;35;0.2;3.4;0.2;1.8;ja;nein;nein;nein
Apfelkuchen;hausgemacht, gebacken (mit Kuchenteig) Apfelwähe ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;614;146;6.6;2.8;2.5;0.8;18;18.5;9.4;9;1.3;2.6;0.2;0;71.1;11;9;8;15;15;0.03;0.04;0.05;0.08;0.1;5.3;0.21;3.9;0.1;0.76;120;89;180;18;10;43;0.4;3.4;0.3;1.8;ja;nein;nein;nein
