Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 01.02.2023) ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 30.01.2023) ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Synonym (neu) ;Unterkategorie  (neu) ;Kategorie (neu) ;Bezugseinheit;Energie, Kilojoule (kJ);Energie, Kalorien (kcal);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);Retinol (µg);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Vitamin B3 Niacin (mg);Folat (µg);Vitamin B5 (Pantothensäur)e (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg);vegetarisch (ja/nein);vegan (ja/nein);laktosefrei (ja/nein);glutenfrei (ja/nein) 
Crêpes nature;zubereitet ;süsse Gerichte, salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;977;234;13.2;6.6;3.6;1.2;161;19;2.9;15.9;0.7;9.4;0.4;0;57.8;103;101;99;27;27;0.09;0.23;0.08;0.57;0.15;23.1;1.05;0.6;1.2;0.64;190;160;250;92;18;160;1;21;1;10;ja;nein;nein;nein
Crevettencocktail;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;691;167;13.3;7.8;3.1;0.7;97;4;3.3;0.2;0.3;4.4;0.4;1.9;76.1;165;153;141;141;141;0.06;0.08;0.06;0.06;0.73;10.6;0.17;5.7;0.2;0.81;180;180;200;44;5.7;100;0.3;35;0.4;k.A.;nein;nein;nein;ja
Croque Monsieur  Toast mit Schinken und Käse ;;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1090;260;9.4;4.4;2.9;1.1;31;26.6;2.6;23.7;1.8;16.4;2.3;0;46.1;70;67;65;32;32;0.33;0.15;0.21;0.34;2.16;15.5;0.51;16.2;0.2;0.69;240;920;1110;180;39;370;1.2;12;2.2;k.A.;nein;nein;nein;nein
Dattel;getrocknet ;Früchte getrocknet ;Früchte;pro 100g essbarer Anteil;1220;289;0.6;0.3;0.3;Sp.;0;64.7;64.7;0;7.5;2.4;0;0;22.9;2;1;0;10;10;0.06;0.06;0.12;0;1.36;18.4;0.6;0.2;0;0.93;730;11;61;68;55;68;2.2;1;0.4;2.7;ja;ja;ja;ja
Dinkelmehl;Ruch, Typ 1100 ;Mehl ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1480;348;2.2;0.3;0.5;1.2;k.A.;65;1.4;k.A.;5.7;14.3;0.1;0;12.7;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;210;27;k.A.;28;64;240;2.4;k.A.;2.8;k.A.;ja;ja;ja;nein
Dinkelmehl;Vollkorn, Typ 1900 ;Mehl ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1460;346;2.7;0.4;0.7;1.5;k.A.;60;1.2;k.A.;9.4;15.6;0;0;12.4;k.A.;k.A.;k.A.;k.A.;k.A.;0.46;0.09;0.2;k.A.;k.A.;k.A.;0.68;k.A.;k.A.;1.4;390;13;k.A.;35;140;450;3.6;k.A.;4.5;6.8;ja;ja;ja;nein
Dinkelmehl;weiss, Typ 550 ;Mehl ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1480;348;1.5;0.3;0.3;0.7;0;69;0.9;68.1;2.8;13.3;0;0;13.1;k.A.;k.A.;0;0;0;0.27;0.04;0.07;0;0.32;16;0.37;0;0;0.29;100;6.8;45;22;23;110;1;0.9;0.9;2.3;ja;ja;ja;nein
Distelöl ;;-;Fette und Öle ;pro 100 ml;3330;810;90;8.5;9.9;68;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39.6;0.9;0;0;0;0;0;0;0;0;0;ja;ja;ja;ja
Doppelrahm;pasteurisiert ;Rahm;Milch und Milchprodukte;pro 100g essbarer Anteil;1930;468;50;30;11.7;2.3;147;2.7;2.7;0;0;1.9;0.1;0;46.9;462;443;425;220;220;0.02;0.19;0.01;0.6;Sp.;7;0.23;1;0.3;1.64;65;22;36;49;5;52;0.1;35;0.2;k.A.;ja;nein;nein;ja
Dörrbohne;eingeweicht, gedämpft (ohne Zugabe von Salz) ;Hülsenfrüchte zubereitet ;Hülsenfrüchte;pro 100g essbarer Anteil;264;63;0.5;0.1;0;0.3;0;6.4;2.4;2.6;6.3;5.1;0;0;81.7;57;29;0;343;343;0.11;0.18;0.33;0;1.03;46.5;0.55;16.9;0;0.25;630;5.9;37;140;57;99;1.8;6.3;0.6;k.A.;ja;ja;ja;ja
Dorsch;Filet, gedämpft (ohne Zusatz von Fett und Salz) ;Fisch zubereitet ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;305;72;0.5;0.1;0;0.2;74;0;0;0;0;17;0.1;0;82.6;2;2;2;0;0;0.05;0.04;0.12;1.4;1.84;9.6;k.A.;0;2;0.88;380;56;k.A.;16;24;210;0.2;180;0.5;26;nein;nein;ja;ja
Dorsch;roh ;Fisch frisch ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;323;76;0.4;0.1;0;0.2;59;0;0;0;0;18.1;0.1;0;81.1;2;2;2;0;0;0.05;0.05;0.14;1.4;2.1;11;k.A.;0;1.8;0.7;410;53;k.A.;13;23;200;0.2;160;0.4;23;nein;nein;ja;ja
Dulce de Leche ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1260;299;7.3;4.4;1.7;0.3;28;52.6;52.6;0;0;5.7;0.2;0;34.2;84;81;78;34;34;0.03;0.37;0.04;0.27;0.19;5;0.55;1.3;0.1;0.23;280;69;170;210;18;160;0.1;17;0.6;1.9;ja;nein;nein;ja
Edelkastanie;roh ;-;Nüsse, Samen, Kernen ;pro 100g essbarer Anteil;887;210;1.9;0.3;1;0.5;0;41.2;14;27;8.4;2.9;0;k.A.;44.9;1;1;0;8;8;0.21;0.08;0.2;0;1.08;54.7;0.44;45.6;0;0.5;380;0.6;13;18;31;59;2.1;0.1;1;1.8;ja;ja;ja;ja
Egli;roh ;Fisch frisch ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;334;79;0.7;0.1;0.1;0.3;70;0;0;0;0;18;0.2;0;80.4;7;7;7;0;0;0.07;0.1;0.12;1;2.9;5;0.19;2;0.4;0.2;80;92;60;80;30;370;0.9;4;1.1;27;nein;nein;ja;ja
Eieromeletten mit Käse;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;796;192;14.5;6.4;4.4;1.5;275;1.2;1.2;0;0.1;14;1;0;70.1;157;148;140;106;106;0.07;0.29;0.09;1.17;0.11;38.4;1.56;2;2;1.01;160;380;540;210;17;260;1.4;32;1.7;k.A.;ja;nein;nein;nein
Eieromeletten mit Schinken;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;596;143;9.6;3.3;3.3;1.3;266;1.3;1.3;0;0.1;12.8;1;0;76.2;107;100;92;87;87;0.16;0.26;0.11;0.94;0.94;37;1.57;10.8;1.9;0.98;210;420;600;65;15;210;1.5;31;1.3;18;nein;nein;nein;nein
Eieromeletten mit Speck;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;729;175;13.4;4.8;5.1;1.6;268;1.3;1.3;0;0.1;12.5;0.7;0;72.8;108;100;93;87;87;0.14;0.25;0.09;0.98;0.62;37.3;1.57;5.5;2;1;180;280;430;64;14;180;1.4;30;1.3;19;nein;nein;nein;nein
Eieromeletten;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;627;151;11.1;3.8;3.8;1.5;310;1.4;1.4;0;0;11.4;0.8;0;76.1;111;111;110;9;9;0.08;0.26;0.07;1.11;0.07;41.5;1.76;0.2;2.3;1.1;170;340;470;70;13;190;1.5;36;1.1;20;ha;nein;nein;nein
Eierschwamm;gedünstet (ohne Zugabe von Fett und Salz) ;Pilze zubereitet ;Pilze;pro 100g essbarer Anteil;115;28;0.6;0.1;0;0.3;0;0.2;0.2;0;5.7;2.6;0;0;91.7;105;52;0;628;628;0.02;0.15;0.04;0;5.07;9.4;1.57;5;2.6;0.12;480;3.2;35;9.5;14;51;6.7;3.5;0.6;k.A.;ja;ja;ja;ja
Eierschwamm;roh ;Pilze frisch ;Pilze;pro 100g essbarer Anteil;98;24;0.5;0.1;0;0.3;0;0.2;0.2;0;4.7;2.3;0;0;91.5;86;43;0;515;515;0.02;0.15;0.04;0;5.2;12.9;1.57;5.7;2.1;0.1;510;3;30;8;14;44;6.5;3;0.6;k.A.;ja;ja;ja;ja
Eisbergsalat;roh Salat;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;65;16;0.2;0;0;0.1;0;1.6;1.6;0;1.8;1;0;0;94.6;12;6;0;74;74;0.04;0.03;0.04;0;0.2;34.7;0.08;4.1;0;0.57;180;3.6;42;34;7;22;0.5;2;0.2;k.A.;ja;ja;ja;ja
Eistee;gezuckert ;Süssgetränke;Getränke;pro 100g essbarer Anteil;128;30;0;0;0;0;0;7.5;7.5;0;0;0;0;0;92.5;0;0;0;0;0;0;0;0;0;0.09;4.6;0;0;0;0;18;0;1;0.1;0.9;0.9;0;0.9;0;k.A.;ja;ja;ja;ja
Emmentaler;vollfett ;Käse, Hartkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;1690;408;32.6;20.3;7.9;1.5;84;0;0;0;0;28.4;0.4;0;35;306;293;280;155;155;0.01;0.3;0.12;1.67;0.18;9.4;0.3;Sp.;0.5;0.35;84;170;270;1030;31;620;0.4;20;4.6;k.A.;ja;nein;nein;ja
Endivie;roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;68;16;0.2;0.1;0;0.1;0;1.2;1.2;Sp.;1.2;1.8;0.1;0;94.2;65;33;0;392;392;0.05;0.12;0.05;0;0.41;109;0.44;12.9;0;1;330;43;71;54;10;54;1.4;2.9;0.4;k.A.;ja;ja;ja;ja
Energy Drink;mit Süssstoffen (Durchschnitt von Markenprodukten) ;Süssgetränke;Getränke;pro 100 ml;3;1;0;0;k.A.;k.A.;k.A.;0.2;0;k.A.;0;0;0.2;k.A.;99.8;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;1.54;1.77;7.77;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;ja;ja;ja;ja
Energy Drink;gezuckert ;Süssgetränke;Getränke;pro 100 ml;185;44;0;0;0;0;0;10.9;10.8;0;k.A.;0;0.2;0;88.1;0;0;0;0;0;0;0.43;1.42;1.63;7.54;0;1.55;0;0;0;3;63;94;4;1;3;0;0;0;0.1;ja;ja;ja;ja
Engadiner Nusstorte ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;2010;481;27.7;10.2;6.2;8.7;62;49.9;30.9;18.2;2;7;0;0;14.1;158;153;148;64;64;0.11;0.05;0.06;0.11;0.17;23.6;0.47;0.2;0.4;1.11;150;15;42;33;30;110;0.8;4.5;0.8;k.A.;ja;nein;nein;nein
Engadiner Nusstorte ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;2010;481;27.7;10.2;6.2;8.7;62;49.9;30.9;18.2;2;7;0;0;14.1;158;153;148;64;64;0.11;0.05;0.06;0.11;0.17;23.6;0.47;0.2;0.4;1.11;150;15;42;33;30;110;0.8;4.5;0.8;k.A.;ja;nein;nein;nein
Engadiner Nusstorte ;;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;2010;481;27.7;10.2;6.2;8.7;62;49.9;30.9;18.2;2;7;0;0;14.1;158;153;148;64;64;0.11;0.05;0.06;0.11;0.17;23.6;0.47;0.2;0.4;1.11;150;15;42;33;30;110;0.8;4.5;0.8;k.A.;ja;nein;nein;nein
Erbse (Konserve)  ;;Hülsenfrüchte konserviert ;Hülsenfrüchte;pro 100g essbarer Anteil;366;87;0.8;0.1;0.1;0.4;0;12.8;Sp.;4.4;5;4.8;0.7;0;76;67;33;0;400;400;0.12;0.08;0.05;0;1;40;0.13;9;0;0.2;120;270;420;32;21;83;1.6;5.2;0.6;k.A.;ja;ja;ja;ja
Erbse (Konserve);aufgewärmt (ohne Zugabe von Salz) ;Hülsenfrüchte zubereitet ;Hülsenfrüchte;pro 100g essbarer Anteil;374;89;0.8;0.1;0.1;0.4;0;13.1;0;4.5;5.1;4.9;0.6;0;76.2;66;33;0;396;396;0.1;0.08;0.04;0;0.85;25.5;0.12;6.8;0;0.21;110;240;430;32;20;84;1.4;5.3;0.5;k.A.;ja;ja;ja;ja
Erbse;grün, gedämpft (ohne Zugabe von Salz) ;Hülsenfrüchte zubereitet ;Hülsenfrüchte;pro 100g essbarer Anteil;419;100;0.8;0.1;0.1;0.4;0;13.2;6.1;6.8;6.6;6.6;0;0;72.7;93;46;0;556;556;0.37;0.14;0.16;0;2.02;48.3;0.49;26.1;0;0.23;290;1.9;44;28;35;140;1.8;4.6;0.8;k.A.;ja;ja;ja;ja
Erbse;grün, roh ;Hülsenfrüchte frisch ;Hülsenfrüchte;pro 100g essbarer Anteil;380;90;0.7;0.1;0.1;0.4;0;12;5.5;6.2;6;6;0;0;74.5;87;43;0;520;520;0.4;0.14;0.16;0;2.2;70;0.5;32;0;0.2;300;2;40;26;34;130;1.9;4.2;0.8;k.A.;ja;ja;ja;ja
Erbse;reif, getrocknet ;Hülsenfrüchte getrocknet ;Hülsenfrüchte;pro 100g essbarer Anteil;1400;331;1.7;0.3;0.3;0.7;0;51.9;2.8;39.4;11.6;21.3;0;0;11.2;20;10;0;118;115;0.79;0.21;0.12;0;3;200;1.49;3.9;0;0.13;1060;6.6;55;39;96;360;4.3;1.3;3.1;k.A.;ja;ja;ja;ja
Erbse;reif, getrocknet, gekocht (ohne Zusatz von Fett und Salz) ;Hülsenfrüchte getrocknet ;Hülsenfrüchte;pro 100g essbarer Anteil;579;137;0.7;0.1;0.1;0.3;0;21.2;1.1;16.1;5;9;0;0;64.2;8;4;0;50;49;0.22;0.07;0.03;0;0.84;42.9;0.35;1;0;0.05;340;2.7;24;18;36;140;1.6;0.5;1.2;k.A.;ja;ja;ja;ja
Erbsen und Karotten (Konserve) ;;Gemüse konserviert ;Gemüse ;pro 100g essbarer Anteil;281;67;0.5;0.1;0;0.2;0;9.5;5.8;3.6;4.5;3.7;1;0;81.7;528;264;0;3166;3166;0.25;0.1;0.13;0;1.5;52.2;0.42;19.8;0;0.32;240;410;650;28;23;83;1.2;3.3;0.5;k.A.;ja;ja;ja;ja
Erbsen und Karotten (Konserve);aufgewärmt (ohne Zugabe von Salz) ;Gemüse konserviert ;Gemüse ;pro 100g essbarer Anteil;287;68;0.5;0.1;0;0.3;0;9.7;5.9;3.7;4.6;3.8;0.9;0;81.3;522;261;0;3132;3132;0.21;0.1;0.11;0;1.28;33.3;0.38;15;0;0.33;220;370;650;28;22;84;1;3.3;0.5;k.A.;ja;ja;ja;ja
Erdbeere;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;162;39;0.5;Sp.;Sp.;Sp.;0;6;5.6;Sp.;3.8;0.6;0;0;90.3;1;0;0;3;3;0.02;0.02;0.04;0;0.37;40.7;0.12;55.8;0;0.3;140;1;62;18;12;23;0.2;1;0.1;<0.5;ja;ja;ja;ja
Erdnuss ;;-;Nüsse, Samen, Kernen ;pro 100g essbarer Anteil;2580;623;49.1;8.4;25.5;12.9;0;14.8;5.9;5;8.6;26.1;0;0;2.2;0;0;0;0;0;0.6;0.43;0.02;0;12;101.7;2.48;0;0;5.54;710;18;7;65;160;380;1.6;13;4;30;ja;ja;ja;ja
Erdnuss-Flips Chips;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;2120;507;24.2;4.4;11.7;6.9;0;56.5;Sp.;Sp.;4.9;13.2;1.9;0;1.5;26;13;0;156;156;0.18;0.04;0.13;0;3.26;17;0.6;0;0;3.5;170;770;1190;16;43;110;0.9;5;0.8;k.A.;ja;ja;ja;ja
Erdnuss;geröstet, gesalzen ;-;Nüsse, Samen, Kernen ;pro 100g essbarer Anteil;2610;631;50;8.6;24.7;12.4;0;15;4.2;8.9;8;26.2;1.3;0;1.2;0;0;0;0;0;0.14;0.07;0.43;0;12.4;66.6;1.17;<0.5;0;2.5;530;530;300;47;170;240;1.2;5.7;2.9;4.8;ja;ja;ja;ja
Erdnussbutter ;;Brotaufstriche;Verschiedenes;pro 100g essbarer Anteil;2630;636;51.8;12.8;19.9;16.9;0;12.5;6.4;5.8;7.6;26.1;0.9;0;1.1;0;0;0;0;0;0.17;0.1;0.58;0;15;53;1.24;0;0;4.7;700;350;520;37;180;330;2;Sp.;3;3;ja;ja;ja;ja
Erdnussöl ;;-;Fette und Öle ;pro 100 ml;3330;810;90;14.9;44.6;23.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.06;0;0;0.9;0;0;0;0;0;0;0;ja;ja;ja;ja
Espresso crème;ungezuckert ;Kaffee;Getränke;pro 100g essbarer Anteil;116;28;2.5;1.5;0.6;0.1;8;0.8;0.7;0;0.1;0.5;0;0;96.1;25;24;23;13;13;0;0.02;0;0.08;0.13;0.5;0.07;0.2;0.1;0.06;45;14;13;23;4.1;17;0;1.9;0;k.A.;ja;nein;nein;ja
Essig ;;-;Kräuter, Gewürze und Würzmittel ;pro 100 ml;93;22;0;0;0;0;0;0.7;0.3;0;0;0.1;0;0.1;93.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;7.7;0.1;7;7.7;12;0.2;<5;0.2;k.A.;ja;ja;ja;ja
Essig-Öl-Salatsauce;hausgemacht (mit Rapsöl) ;Saucen;Verschiedenes;pro 100 ml;1300;315;33.1;2.4;19.7;8.9;0;3;2.8;0;0.9;0.9;0.7;0;62.1;1;1;0;7;7;0.03;0.01;0.04;0;0.17;3.8;0.06;2.3;0;10.99;61;270;400;18;11;27;0.2;3.4;0.2;k.A.;ja;ja;ja;ja
Falafel;frittiert (in HOLL Rapsöl frittiert) ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;931;222;7.8;0.7;5;1.8;0;26.3;2.3;23.9;6.4;8.4;0.7;0;51.2;21;10;0;124;124;0.12;0.04;0.1;0;0.39;35.1;0.21;4.8;0;2.5;280;300;480;44;41;130;1.6;0.9;0.8;k.A.;ja;ja;ja;ja
Fasnachtschüechli ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;2310;553;32.9;16.1;10.5;2.6;159;51.7;1.9;49.2;2.3;11.5;0.1;0;2.3;282;273;264;110;110;0.14;0.1;0.06;0.35;0.25;23.7;0.88;0;1;2.52;170;58;110;28;14;100;0.8;13;0.7;k.A.;ja;nein;nein;nein
Fasnachtschüechli ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;2310;553;32.9;16.1;10.5;2.6;159;51.7;1.9;49.2;2.3;11.5;0.1;0;2.3;282;273;264;110;110;0.14;0.1;0.06;0.35;0.25;23.7;0.88;0;1;2.52;170;58;110;28;14;100;0.8;13;0.7;k.A.;ja;nein;nein;nein
Federkohl;gedünstet (ohne Zugabe von Salz und Fett) Grünkohl;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;195;47;1;0.1;0;0.5;0;2.7;2.7;0;4.5;4.6;0.1;0;87.3;509;254;0;3052;3052;0.1;0.25;0.21;0;2.12;63.6;0.67;59.8;0;1.81;520;23;64;290;29;84;1.4;4.8;0.4;k.A.;ja;ja;ja;ja
Federkohl;roh Grünkohl;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;183;44;0.9;0.1;0;0.5;0;2.5;2.5;0;4.2;4.3;0.1;0;85.9;514;257;0;3085;3085;0.1;0.25;0.22;0;2.1;85.4;0.7;74;0;1.7;490;22;60;270;27;79;1.3;4.5;0.3;k.A.;ja;ja;ja;ja
Feige;getrocknet ;Früchte getrocknet ;Früchte;pro 100g essbarer Anteil;1130;267;1.2;0.1;0.2;0.7;0;55.9;55.9;0;10;3.1;0.3;0;27.5;7;4;0;43;43;0.08;0.08;0.12;0;0.65;12.7;0.35;0.5;0;0.41;780;110;43;190;67;75;1.4;4;0.5;5.6;ja;ja;ja;ja
Feige;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;301;71;0.5;0.1;0.1;0.2;0;13.5;12.2;Sp.;4.1;1.2;0;0;80.2;17;9;0;102;87;0.04;0.03;0.06;0;0.35;24.5;0.2;3.4;0;0.5;230;5;18;57;22;21;0.3;1.5;0.2;1.6;ja;ja;ja;ja
Felche;roh ;Fisch frisch ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;425;101;2.7;0.6;0.6;0.6;54;0;0;0;0;19.2;0.1;0;76.6;13;13;13;0;0;0.07;0.07;0.45;1;4;10;k.A.;0;22.1;1.3;400;20;k.A.;34;26;230;0.4;1.5;0.6;21;ja;ja;ja;ja
Fenchel;gedämpft (ohne Zugabe von Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;90;22;0.3;0;0;0;0;2.2;0.1;2.1;3.1;1;0;0;93.4;21;11;0;126;126;0.03;0.02;0.03;0;0.56;33;0.12;4.4;0;0.08;400;13;26;35;11;36;0.4;4.8;0.3;k.A.;ja;ja;ja;ja
Fenchel;roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;95;23;0.3;Sp.;Sp.;Sp.;0;2.3;0.1;2.2;3.3;1.1;0;0;92.2;23;12;0;140;140;0.04;0.02;0.04;0;0.7;55;0.15;5.9;0;<0.08;470;15;27;37;12;38;0.5;5;0.3;k.A.;ja;ja;ja;ja
Fermentierter Teig ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;841;199;0.9;0.1;0.1;0.4;0;38.3;0.3;37.7;3;7.8;1.2;0;50.6;0;0;0;0;0;0.17;0.06;0.17;0;0.71;25.7;0.41;0;0;0.23;120;490;750;13;32;110;1.5;0.9;1.1;3.5;ja;ja;ja;nein
Fisch (Durchschnitt);Filet, gedämpft (ohne Zusatz von Fett und Salz) ;Fisch zubereitet ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;612;146;7.5;1.5;2.4;1.9;59;0;0;0;0;19.6;0.2;0;72.8;161;161;161;0;0;0.17;0.11;0.46;5.31;6.09;11.6;1;0.3;6.5;1.17;360;66;k.A.;29;32;240;0.8;50;0.7;k.A.;nein;nein;ja;ja
Fisch (Durchschnitt);roh  ;Fisch frisch ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;612;146;6.9;1.4;2.2;1.7;47;0;0;0;0;20.9;0.2;0;72.1;155;155;155;0;0;0.18;0.13;0.52;5.31;6.96;13.3;1.15;0.3;6.3;1.04;390;62;k.A.;23;30;230;0.8;45;0.6;k.A.;nein;nein;ja;ja
Fischstäbchen (paniert und vorfritiert);gebraten in HOLL-Rapsöl ;Fisch zubereitet ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;1250;300;18.6;1.4;11.9;4.1;51;16.6;0.1;16.4;0.9;16;0.6;0;48.1;2;2;2;1;1;0.06;0.04;0.11;0.86;1.4;7.4;0.25;0;0.8;1.61;280;230;670;11;19;140;0.4;97;0.5;k.A.;nein;nein;ja;nein
Fischstäbchen (paniert und vorfritiert);im Ofen gebacken (ohne Zugabe von Fett) ;Fisch zubereitet ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;1040;248;12.2;1;7;3.4;53;17.4;0.1;17.2;1;16.8;0.6;0;52.9;2;2;2;1;1;0.06;0.04;0.13;0.9;1.35;7.8;0.26;0;0.8;1.25;290;240;700;12;20;150;0.4;100;0.6;k.A.;nein;nein;ja;nein
Fischstäbchen;paniert und vorfritiert ;Fisch zubereitet ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;962;230;11.7;0.9;6.7;3.2;47;15.3;0.1;15.1;0.8;15.5;0.6;0;56.9;2;2;2;1;1;0.07;0.04;0.13;0.88;1.43;8.6;0.29;0;0.9;1.19;300;250;610;10;19;150;0.5;89;0.5;k.A.;nein;nein;ja;nein
Flammenkuchen;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1060;254;13.8;6.7;4.8;1;33;22.9;2.3;20.3;1.4;9;1;0;53.2;55;53;51;21;21;0.13;0.09;0.08;0.16;0.93;9.3;0.28;5.3;0.2;0.75;140;410;710;87;13;100;0.4;4.5;0.9;k.A.;nein;nein;nein;nein
Flammenkuchen;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1060;254;13.8;6.7;4.8;1;33;22.9;2.3;20.3;1.4;9;1;0;53.2;55;53;51;21;21;0.13;0.09;0.08;0.16;0.93;9.3;0.28;5.3;0.2;0.75;140;410;710;87;13;100;0.4;4.5;0.9;k.A.;nein;nein;nein;nein
Flammenkuchenteig;ungebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;934;221;2.9;1.4;0.6;0.5;6;39.9;0.6;38.9;2.7;7.5;1.3;0;47.7;22;21;20;9;9;0.14;0.04;0.13;0;0.52;17.6;0.34;0;0;0.24;110;500;780;11;25;88;1.1;0.8;0.8;2.8;ja;nein;nein;nein
Fleisch (Durchschnitt exkl. Innereien);roh  ;Fleisch frisch ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;611;146;6.7;2.4;2.9;0.7;62;0;0;0;0;21.4;0.1;0;71.9;6;6;5;2;2;0.45;0.18;0.46;1.32;5.55;5.8;0.82;0.1;0.6;0.37;330;59;66;6.5;22;190;1.1;2;2.7;k.A.;nein;nein;ja;ja
Fleischkäse ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;1060;256;22.3;8.8;10.8;2;51;1.4;1.4;0;0;12.5;2.3;0;60.1;2;2;2;3;3;0.3;0.12;0.13;0.34;3.52;0.9;0.4;41.9;0.9;Sp.;100;900;1170;19;12;190;0.5;0.4;1.4;6;nein;nei;ja;ja
Fleischlasagne;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;589;141;6;3;1.9;0.4;25;12.2;2.4;9.7;1.5;8.8;0.9;0;71.7;110;73;36;445;445;0.03;0.08;0.08;0.24;0.94;7.6;0.22;3.5;0.1;0.63;150;360;640;88;17;110;0.9;4.7;1.6;k.A.;nein;nein;nein;nein
